#comment
time[s] TB-x[cm] TB-y[cm] TB-z[cm] TM-x[cm] TM-y[cm] TM-z[cm] TT-x[cm] TT-y[cm] TT-z[cm] UL-x[cm] UL-y[cm] UL-z[cm] LL-x[cm] LL-y[cm] LL-z[cm] JAW-x[cm] JAW-y[cm] JAW-z[cm]
0.385 -0.19604612 -2.4453617 -0.031981863 1.2450128 0.54776011 -0.0041866883 4.5311822 0.1137283 -0.034312407 6.8887751 0.48842758 -0 6.5887751 -2.1141161 -0 4.3151505 -1.7653046 -0
0.39 -0.19563487 -2.4626775 -0.032597809 1.2401735 0.5416818 -0.0042605564 4.5291944 0.11625032 -0.034312407 6.9016224 0.49628077 -0 6.6016224 -2.1313338 -0 4.3245725 -1.7716374 -0
0.395 -0.19530009 -2.476664 -0.032551175 1.236541 0.53644616 -0.0034310417 4.5277033 0.11814337 -0.019582113 6.9121191 0.50275285 -0 6.6121191 -2.1454191 -0 4.3322108 -1.7767815 -0
0.4 -0.19504791 -2.4878501 -0.032503944 1.2336641 0.53231726 -0.0027223498 4.526594 0.11955247 -0.019582113 6.9206023 0.50802349 -0 6.6206023 -2.1568157 -0 4.3383418 -1.7809169 -0
0.405 -0.19488932 -2.4967146 -0.033041709 1.231405 0.52908423 -0.00292603 4.5257741 0.12059458 -0.019582113 6.9273912 0.51227001 -0 6.6273912 -2.1659459 -0 4.3432184 -1.7842105 -0
0.41 -0.19474675 -2.5036909 -0.033041749 1.2296456 0.52656634 -0.00292603 4.5251665 0.12136577 -0.019582113 6.9327757 0.51565848 -0 6.6327757 -2.1731946 -0 4.3470654 -1.7868112 -0
0.415 -0.19463857 -2.509139 -0.033041779 1.2283061 0.5245812 -0.00292603 4.5247195 0.1219331 -0.019582113 6.9370117 0.51833865 -0 6.6370117 -2.1789025 -0 4.3500772 -1.788849 -0
0.42 -0.19455702 -2.5133561 -0.033065802 1.2273459 0.52294353 -0.0033522578 4.5243919 0.12234909 -0.027150949 6.9403191 0.52043969 -0 6.6403191 -2.1833605 -0 4.352419 -1.7904335 -0
0.425 -0.1944501 -2.5160458 -0.033065646 1.2266796 0.52192456 -0.0033522578 4.5241872 0.12260996 -0.027150949 6.9428714 0.52195837 -0 6.6428714 -2.1866497 -0 4.3542426 -1.7916157 -0
0.43 -0.19412171 -2.5149396 -0.033064552 1.2265555 0.52248603 -0.0033522578 4.5242391 0.12254952 -0.027150949 6.9447668 0.52246949 -0 6.6447668 -2.1882243 -0 4.3557263 -1.7922852 -0
0.435 -0.1933113 -2.5065166 -0.033061395 1.2274946 0.5259778 -0.0033522578 4.5248094 0.12184174 -0.027150949 6.9460488 0.5212818 -0 6.6460488 -2.1871393 -0 4.357058 -1.7922277 -0
0.44 -0.19190009 -2.4878426 -0.032557456 1.2301328 0.5333533 -0.0034310417 4.526264 0.1200283 -0.019582113 6.9467523 0.51783494 -0 6.6467523 -2.1826279 -0 4.3583894 -1.7912686 -0
0.445 -0.19016635 -2.4576535 -0.031958553 1.2348393 0.54496855 -0.0045306816 4.5289589 0.11666264 -0.034312407 6.946932 0.51192691 -0 6.646932 -2.1744326 -0 4.3598102 -1.7893563 -0
0.45 -0.18888386 -2.4173359 -0.032560506 1.240585 0.55904185 -0.005420986 4.5311873 0.11390569 -0.034312407 6.9466678 0.50373658 -0 6.6466678 -2.1628397 -0 4.3613485 -1.7865712 -0
0.455 -0.18845257 -2.3690119 -0.031828167 1.2472657 0.57406771 -0.0023742107 4.5328081 0.11194594 -0.019582113 6.9460571 0.49372567 -0 6.6460571 -2.1485388 -0 4.3629859 -1.7830915 -0
0.46 -0.18930582 -2.3139474 -0.03068856 1.2573656 0.58992403 -0.0011384171 4.5374222 0.10624168 -0.019582113 6.9452028 0.48250324 -0 6.6452028 -2.1324285 -0 4.3646764 -1.7791455 -0
0.465 -0.23983504 -2.2514206 -0.029953764 1.2605857 0.60109872 -0.0023058074 4.5383445 0.10520972 -0.044923147 6.9442013 0.47070356 -0 6.6442013 -2.1154402 -0 4.3663642 -1.7749686 -0
0.47 -0.29784408 -2.1892172 -0.028868012 1.2645869 0.61027732 -0.0024672749 4.5413775 0.10154387 -0.00056648254 6.9431358 0.45889934 -0 6.6431358 -2.0984135 -0 4.3679959 -1.7707722 -0
0.475 -0.35568737 -2.1323258 -0.029505364 1.2662511 0.61696669 -0.0011566403 4.5422374 0.10061038 -0.00056648254 6.9420719 0.44755285 -0 6.6420719 -2.082026 -0 4.3695277 -1.766727 -0
0.48 -0.41065674 -2.0811907 -0.029155359 1.2677984 0.62136855 -0.000751734 4.5434605 0.09926594 -0.00056648254 6.9410572 0.43699851 -0 6.6410572 -2.0667687 -0 4.3709286 -1.7629565 -0
0.485 -0.46225172 -2.0482574 -0.028325499 1.2464275 0.61754074 -0.000751734 4.5099786 0.12570914 -0.00056648254 6.9401232 0.42744727 -0 6.6401232 -2.0529519 -0 4.3721807 -1.7595392 -0
0.49 -0.5077442 -2.0165364 -0.028435309 1.2348217 0.61613226 -0.0026213171 4.484966 0.09352871 -0.00056648254 6.9392873 0.41900356 -0 6.6392873 -2.040731 -0 4.3732771 -1.7565148 -0
0.495 -0.54773044 -1.9893129 -0.027468112 1.2260561 0.61504595 -0.0026213171 4.4658654 0.064686032 -0.00056648254 6.9385566 0.41168779 -0 6.6385566 -2.0301381 -0 4.3742201 -1.7538921 -0
0.5 -0.58225966 -1.9670508 -0.026428255 1.2182037 0.61383153 -0.0026213171 4.449561 0.04016051 -0.00056648254 6.9379303 0.40545946 -0 6.6379303 -2.021117 -0 4.3750183 -1.7516578 -0
0.505 -0.61068296 -1.9491066 -0.025205216 1.2113318 0.61261456 -0.0029131415 4.4358608 0.019622207 -0.00056648254 6.9374025 0.40023803 -0 6.6374025 -2.0135522 -0 4.3756844 -1.7497836 -0
0.51 -0.6344705 -1.9347344 -0.026032833 1.2054428 0.61147532 -0.0038409712 4.4245089 0.002653822 -0.00056648254 6.9369642 0.39592005 -0 6.6369642 -2.0072951 -0 4.3762332 -1.7482331 -0
0.515 -0.65397755 -1.9233218 -0.025607421 1.2005082 0.61038149 -0.0030611517 4.4152196 -0.011197303 -0.00056648254 6.9366049 0.39239243 -0 6.6366049 -2.0021823 -0 4.3766802 -1.7469659 -0
0.52 -0.66975627 -1.9143287 -0.024726961 1.1964518 0.60940495 -0.004328057 4.4077072 -0.02238404 -0.0031414032 6.936314 0.38955324 -0 6.636314 -1.998055 -0 4.3770393 -1.745935 -0
0.525 -0.68117914 -1.9075379 -0.022057468 1.1935597 0.60898697 -0.0059016196 4.4017717 -0.031598058 -0.0031414032 6.9360858 0.38760367 -0 6.6360858 -1.9948863 -0 4.3772937 -1.7449255 -0
0.53 -0.68531181 -1.9033215 -0.024893206 1.1931028 0.61040538 -0.0059016196 4.3974386 -0.040060923 -0.0031414032 6.9359271 0.387482 -0 6.6359271 -1.9929665 -0 4.3773517 -1.7433091 -0
0.535 -0.67741121 -1.9023534 -0.024663736 1.1969009 0.61496505 -0.0017918197 4.3948716 -0.049189908 -0.0029053688 6.9358503 0.39043103 -0 6.6358503 -1.9927247 -0 4.3770902 -1.7402941 -0
0.54 -0.65457873 -1.9050959 -0.023111632 1.2063069 0.62396215 -0.0039726821 4.3942354 -0.060040009 -0.0029053688 6.9358631 0.39734457 -0 6.6358631 -1.9944571 -0 4.3764195 -1.7353005 -0
0.545 -0.61660996 -1.911655 -0.024193211 1.2220315 0.63741901 -0.0034534065 4.395624 -0.073058081 -0.0029053688 6.9359637 0.40845524 -0 6.6359637 -1.9981974 -0 4.375315 -1.7281382 -0
0.55 -0.56455673 -1.9218366 -0.023925776 1.2440105 0.65455657 -0.00081819363 4.3990306 -0.088125567 -0.0017466545 6.9361413 0.42335307 -0 6.6361413 -2.0037229 -0 4.3738153 -1.7189957 -0
0.555 -0.50197244 -1.9350779 -0.025151296 1.2716208 0.67402872 -9.8360254e-05 4.4043287 -0.10473939 -0.0017466545 6.9363785 0.44117983 -0 6.6363785 -2.0106337 -0 4.372004 -1.7083269 -0
0.56 -0.43321508 -1.9505103 -0.025123301 1.3037874 0.69456802 -0.00017013666 4.4112525 -0.12224483 -0.0030212402 6.9366556 0.46086552 -0 6.6366556 -2.0184495 -0 4.3699878 -1.6967136 -0
0.565 -0.36211798 -1.9671713 -0.025328215 1.3391786 0.71511695 -0.00017013666 4.4194062 -0.13998957 -0.0030212402 6.9369531 0.48132987 -0 6.6369531 -2.0266922 -0 4.3678762 -1.6847491 -0
0.57 -0.29261497 -1.9840345 -0.026336053 1.3763688 0.7348715 -9.5895206e-05 4.4283134 -0.15738545 -0.0017028809 6.9372542 0.50161969 -0 6.6372542 -2.0349416 -0 4.365768 -1.672958 -0
0.575 -0.22690447 -2.0002838 -0.026127876 1.4139648 0.75329032 -9.5895206e-05 4.4374858 -0.17394117 -0.0017028809 6.9375455 0.52098165 -0 6.6375455 -2.0428649 -0 4.3637431 -1.6617541 -0
0.58 -0.16747819 -2.0152311 -0.026127685 1.4506965 0.77008813 -9.5895206e-05 4.4464822 -0.18929589 -0.0017028809 6.9378175 0.5388837 -0 6.6378175 -2.0502252 -0 4.3618598 -1.6514276 -0
0.585 -0.1140055 -2.0285752 -0.024798959 1.4854757 0.78521825 -4.2534164e-05 4.4549575 -0.20320365 -0.00075531006 6.9380641 0.5550022 -0 6.6380641 -2.0568755 -0 4.3601552 -1.6421521 -0
0.59 -0.067933494 -2.0400701 -0.026539595 1.5174199 0.79884274 -4.2534164e-05 4.4626809 -0.21552596 -0.00075531006 6.9382824 0.5691898 -0 6.6382824 -2.0627449 -0 4.3586479 -1.6340031 -0
0.595 -0.028408261 -2.0497693 -0.018900333 1.5461374 0.81075799 -0.00028098327 4.4695287 -0.22621937 -0.004989624 6.9384715 0.58143597 -0 6.6384715 -2.0678219 -0 4.3573416 -1.6269797 -0
0.6 0.0045024063 -2.0577456 -0.018505871 1.5714291 0.82100538 -4.2534164e-05 4.4754433 -0.23536551 -0.00075531006 6.9386326 0.59182754 -0 6.6386326 -2.0721372 -0 4.3562295 -1.621027 -0
